Italy;US;Spain;Germany;Korea, South;India;date
0;1;0;0;1;0;2020-01-22
0;1;0;0;1;0;2020-01-23
0;2;0;0;2;0;2020-01-24
0;2;0;0;2;0;2020-01-25
0;5;0;0;3;0;2020-01-26
0;5;0;1;4;0;2020-01-27
0;5;0;4;4;0;2020-01-28
0;5;0;4;4;0;2020-01-29
0;5;0;4;4;1;2020-01-30
2;7;0;5;11;1;2020-01-31
2;8;1;8;12;1;2020-02-01
2;8;1;10;15;2;2020-02-02
2;11;1;12;15;3;2020-02-03
2;11;1;12;16;3;2020-02-04
2;11;1;12;19;3;2020-02-05
2;11;1;12;23;3;2020-02-06
3;11;1;13;24;3;2020-02-07
3;11;1;13;24;3;2020-02-08
3;11;2;14;25;3;2020-02-09
3;11;2;14;27;3;2020-02-10
3;12;2;16;28;3;2020-02-11
3;12;2;16;28;3;2020-02-12
3;13;2;16;28;3;2020-02-13
3;13;2;16;28;3;2020-02-14
3;13;2;16;28;3;2020-02-15
3;13;2;16;29;3;2020-02-16
3;13;2;16;30;3;2020-02-17
3;13;2;16;31;3;2020-02-18
3;13;2;16;31;3;2020-02-19
3;13;2;16;104;3;2020-02-20
20;15;2;16;204;3;2020-02-21
62;15;2;16;433;3;2020-02-22
155;15;2;16;602;3;2020-02-23
229;15;2;16;833;3;2020-02-24
322;15;6;17;977;3;2020-02-25
453;15;13;27;1261;3;2020-02-26
655;16;15;46;1766;3;2020-02-27
888;16;32;48;2337;3;2020-02-28
1128;24;45;79;3150;3;2020-02-29
1694;30;84;130;3736;3;2020-03-01
2036;53;120;159;4335;5;2020-03-02
2502;73;165;196;5186;5;2020-03-03
3089;104;222;262;5621;28;2020-03-04
3858;174;259;482;6088;30;2020-03-05
4636;222;400;670;6593;31;2020-03-06
5883;337;500;799;7041;34;2020-03-07
7375;451;673;1040;7314;39;2020-03-08
9172;519;1073;1176;7478;43;2020-03-09
10149;711;1695;1457;7513;56;2020-03-10
12462;1109;2277;1908;7755;62;2020-03-11
15113;1561;2277;2078;7869;73;2020-03-12
17660;2157;5232;3675;7979;82;2020-03-13
21157;2870;6391;4585;8086;102;2020-03-14
24747;2968;7798;5795;8162;113;2020-03-15
27980;4360;9942;7272;8236;119;2020-03-16
31506;6141;11748;9257;8320;142;2020-03-17
35713;8917;13910;12327;8413;156;2020-03-18
41035;14157;17963;15320;8565;194;2020-03-19
47021;19479;20410;19848;8652;244;2020-03-20
53578;25825;25374;22213;8799;330;2020-03-21
59138;33761;28768;24873;8961;396;2020-03-22
63927;43850;35136;29056;8961;499;2020-03-23
69176;54112;39885;32986;9037;536;2020-03-24
74386;66055;49515;37323;9137;657;2020-03-25
80589;84091;57786;43938;9241;727;2020-03-26
86498;102276;65719;50871;9332;887;2020-03-27
92472;122069;73235;57695;9478;987;2020-03-28
97689;141205;80110;62095;9583;1024;2020-03-29
101739;162707;87956;66885;9661;1251;2020-03-30
105792;188724;95923;71808;9786;1397;2020-03-31
110574;214205;104118;77872;9887;1998;2020-04-01
115242;244610;112065;84794;9976;2543;2020-04-02
119827;276547;119199;91159;10062;2567;2020-04-03
124632;309699;126168;96092;10156;3082;2020-04-04
128948;337573;131646;100123;10237;3588;2020-04-05
132547;367215;136675;103374;10284;4778;2020-04-06
135586;397992;141942;107663;10331;5311;2020-04-07
139422;429686;148220;113296;10384;5916;2020-04-08
143626;464442;153222;118181;10423;6725;2020-04-09
147577;497943;158273;122171;10450;7598;2020-04-10
152271;527969;163027;124908;10480;8446;2020-04-11
156363;556522;166831;127854;10512;9205;2020-04-12
159516;581813;170099;130072;10537;10453;2020-04-13
162488;608878;172541;131359;10564;11487;2020-04-14
165155;637974;177644;134753;10591;12322;2020-04-15
168941;669272;184948;137698;10613;13430;2020-04-16
172434;701996;190839;141397;10635;14352;2020-04-17
175925;730337;191726;143342;10653;15722;2020-04-18
178972;756375;198674;145184;10661;17615;2020-04-19
181228;783716;200210;147065;10674;18539;2020-04-20
183957;809318;204178;148291;10683;20080;2020-04-21
187327;837422;208389;150648;10694;21370;2020-04-22
189973;871617;213024;153129;10708;23077;2020-04-23
192994;907908;202990;154999;10718;24530;2020-04-24
195351;940829;205905;156513;10728;26283;2020-04-25
197675;968518;207634;157770;10738;27890;2020-04-26
199414;990983;209465;158758;10752;29451;2020-04-27
201505;1015518;210773;159912;10761;31324;2020-04-28
203591;1043038;212917;161539;10765;33062;2020-04-29
205463;1072667;213435;163009;10774;34863;2020-04-30
207428;1106829;215216;164077;10780;37257;2020-05-01
209328;1136024;216582;164967;10793;39699;2020-05-02
210717;1161611;217466;165664;10801;42505;2020-05-03
211938;1184086;218011;166152;10804;46437;2020-05-04
213013;1208271;219329;167007;10806;49400;2020-05-05
214457;1233527;220325;168162;10810;52987;2020-05-06
215858;1261409;221447;169430;10822;56351;2020-05-07
217185;1288587;222857;170588;10840;59695;2020-05-08
218268;1314320;223578;171324;10874;62808;2020-05-09
219070;1334084;224350;171879;10909;67161;2020-05-10
219814;1352962;227436;172576;10936;70768;2020-05-11
221216;1375152;228030;173171;10962;74292;2020-05-12
222104;1396110;228691;174098;10991;78055;2020-05-13
223096;1423727;229540;174478;11018;81997;2020-05-14
223885;1449027;230183;175233;11037;85784;2020-05-15
224760;1474128;230698;175752;11050;90648;2020-05-16
225435;1493132;230698;176369;11065;95698;2020-05-17
225886;1514901;231606;176551;11078;100328;2020-05-18
226699;1535350;232037;177778;11110;106475;2020-05-19
227364;1559157;232555;178473;11122;112028;2020-05-20
228006;1584512;233037;179021;11142;118226;2020-05-21
228658;1608653;234824;179710;11165;124794;2020-05-22
229327;1630476;235290;179986;11190;131423;2020-05-23
229858;1651289;235772;180328;11206;138536;2020-05-24
230158;1670280;235400;180600;11225;144950;2020-05-25
230555;1689163;236259;181200;11265;150793;2020-05-26
231139;1707445;236259;181524;11344;158086;2020-05-27
231732;1730260;237906;182196;11402;165386;2020-05-28
232248;1754764;238564;182922;11441;173491;2020-05-29
232664;1779214;239228;183189;11468;181827;2020-05-30
232997;1799124;239479;183410;11503;190609;2020-05-31
233197;1816479;239638;183594;11541;198370;2020-06-01
233515;1837374;239932;183879;11590;207191;2020-06-02
233836;1857332;240326;184121;11629;216824;2020-06-03
234013;1878683;240660;184472;11668;226713;2020-06-04
234531;1903907;240978;184924;11719;236184;2020-06-05
234801;1926639;241310;185450;11776;246622;2020-06-06
234998;1944370;241550;185750;11814;257486;2020-06-07
235278;1961785;241717;186109;11852;265928;2020-06-08
235561;1979912;241966;186506;11902;276146;2020-06-09
235763;2000706;242280;186522;11947;286605;2020-06-10
236142;2023656;242707;186691;12003;297535;2020-06-11
236305;2048986;243209;187226;12051;308993;2020-06-12
236651;2074542;243605;187267;12085;320922;2020-06-13
236989;2094366;243928;187518;12121;332424;2020-06-14
237290;2114026;244109;187682;12155;343091;2020-06-15
237500;2137731;244328;188252;12198;354065;2020-06-16
237828;2163290;244683;188604;12257;366946;2020-06-17
238159;2191099;245268;189817;12306;380532;2020-06-18
238011;2222579;245575;190299;12373;395048;2020-06-19
238275;2255328;245938;190670;12421;410451;2020-06-20
238499;2281767;246272;191272;12438;425282;2020-06-21
238720;2312303;246504;191768;12484;440215;2020-06-22
238833;2347491;246752;192480;12535;456183;2020-06-23
239410;2382426;247086;192871;12563;473105;2020-06-24
239706;2422299;247486;193371;12602;490401;2020-06-25
239961;2467554;247905;194036;12653;508953;2020-06-26
240136;2510259;248469;194458;12715;528859;2020-06-27
240310;2549864;248770;194693;12757;548318;2020-06-28
240436;2590668;248970;195042;12800;566840;2020-06-29
240578;2636414;249271;195418;12850;585481;2020-06-30
240760;2687588;249659;195893;12904;604641;2020-07-01
240961;2742049;250103;196370;12967;625544;2020-07-02
241184;2795361;250545;196780;13030;648315;2020-07-03
241419;2841241;250545;197198;13091;673165;2020-07-04
241611;2891124;250545;197523;13137;697413;2020-07-05
241819;2936077;251789;198064;13181;719664;2020-07-06
241956;2996098;252130;198343;13244;742417;2020-07-07
242149;3054699;252513;198699;13293;767296;2020-07-08
242363;3117946;253056;199001;13338;793802;2020-07-09
242639;3185737;253908;199332;13373;820916;2020-07-10
242827;3245925;253908;199709;13417;849522;2020-07-11
243061;3304942;253908;199919;13479;878254;2020-07-12
243230;3364157;255953;200180;13512;906752;2020-07-13
243344;3431574;256619;200456;13551;936181;2020-07-14
243506;3498902;257494;200890;13612;968857;2020-07-15
243736;3576157;258855;201450;13672;1003832;2020-07-16
